ID,Text,Score,Sentiment,Time
9150,yaml: List of prompts used to evaluate our models (see paper),0,Neutral,2026-03-25 20:23:54
9149,Evaluation_prompts,0,Neutral,2026-03-25 20:23:53
9148,txt which were GPT-4 generated as a subset (but is significantly larger),0,Neutral,2026-03-25 20:23:53
9147,It contains all the examples in TinyStories,0,Neutral,2026-03-25 20:23:53
9146,5 which are of lesser quality),0,Neutral,2026-03-25 20:23:53
9145,txt - Is a new version of the dataset that is based on generations by GPT-4 only (the original dataset also has generations by GPT-3,3,Positive,2026-03-25 20:23:53
9144,TinyStoriesV2-GPT4-train,0,Neutral,2026-03-25 20:23:53
9143,gz - contains a superset of the stories together with metadata and the prompt that was used to create each story,3,Positive,2026-03-25 20:23:53
9142,tar,0,Neutral,2026-03-25 20:23:53
9141,Additional resources: tinystories_all_data,0,Neutral,2026-03-25 20:23:53
9140,"These models can be found on Huggingface, at roneneldan/TinyStories-1M/3M/8M/28M/33M/1Layer-21M",0,Neutral,2026-03-25 20:23:53
9139,txt can be used for validation loss),-3,Negative,2026-03-25 20:23:53
9138,txt (the file tinystories-valid,0,Neutral,2026-03-25 20:23:53
9137,The models referred to in the paper were trained on TinyStories-train,0,Neutral,2026-03-25 20:23:53
9136,07759,0,Neutral,2026-03-25 20:23:53
9135,org/abs/2305,0,Neutral,2026-03-25 20:23:53
9134,Described in the following paper: https://arxiv,0,Neutral,2026-03-25 20:23:53
9133,5 and GPT-4) short stories that only use a small vocabulary,0,Neutral,2026-03-25 20:23:53
9132,Dataset containing synthetically generated (by GPT-3,0,Neutral,2026-03-25 20:23:53
9131,Expand in Data Studio,3,Positive,2026-03-25 20:23:53
9130,End of preview,0,Neutral,2026-03-25 20:23:53
9129,"John and Sarah were so cheerful and excited about the prospect of helping find the true owner of the metal, that they grabbed it and set off, ready to call on their neighbours",9,Positive,2026-03-25 20:23:53
9128,"If nobody takes it, you two can keep it!""",0,Neutral,2026-03-25 20:23:53
9127,"Their parents smiled, and said, ""Well, why don't you two take it around the neighbourhood and see if you can return it to its rightful owner",7,Positive,2026-03-25 20:23:53
9126,They recounted that they found the metal outside in the backyard and it was so shiny and reflective,0,Neutral,2026-03-25 20:23:53
9125,"They raced into the house, and shouted, ""Mommy, Daddy! Look what we found!"" Their parents were very surprised and asked, ""Where did you find this piece of metal?"" John and Sarah were so proud of their discovery, and couldn't wait to tell the story",10,Positive,2026-03-25 20:23:53
9124,"John asked Sarah, ""What should we do with the metal?"" Sarah thought for a moment, then said, ""Let's take it to Mommy and Daddy!"" With that, they ran off excitedly, ready to surprise their parents",8,Positive,2026-03-25 20:23:53
9123,It was shiny and reflective and they couldn't wait to show their parents,0,Neutral,2026-03-25 20:23:53
9122,John and Sarah were playing together in their backyard when they found a piece of metal,2,Positive,2026-03-25 20:23:53
9121,They said goodbye to each,0,Neutral,2026-03-25 20:23:53
9120,"Finally, they arrived at the kitty's house",0,Neutral,2026-03-25 20:23:53
9119,""" So they both ran away and found a hidden path to get to the kitty's home",0,Neutral,2026-03-25 20:23:53
9118,We can find another way,0,Neutral,2026-03-25 20:23:52
9117,"Susie and the kitty were scared, but Susie kept her head and said, ""Don't worry, kitty",3,Positive,2026-03-25 20:23:52
9116,There was a big angry dog that blocked their way,-7,Negative,2026-03-25 20:23:52
9115,"After a while, they ran into some trouble",-4,Negative,2026-03-25 20:23:52
9114,""" So Susie and the kitty started walking to find the kitty's home",0,Neutral,2026-03-25 20:23:52
9113,I can help you find your way home! Let's go visit and see,4,Positive,2026-03-25 20:23:52
9112,"She said, ""Don't worry, kitty",3,Positive,2026-03-25 20:23:52
9111,""" Susie felt so sorry for the kitty and she wanted to help him",2,Positive,2026-03-25 20:23:52
9110,I don't know how to get back home,0,Neutral,2026-03-25 20:23:52
9109,"Susie said to the kitty, ""Hi kitty, why are you here all alone?"" The kitty meowed and then said, ""I'm lost",-5,Negative,2026-03-25 20:23:52
9108,"She went near it, and when she peeked behind the bush, she found a kitty! Susie was so excited to see the kitty that she ran over to it",5,Positive,2026-03-25 20:23:52
9107,"As she was running around, she saw something hidden behind a bush",0,Neutral,2026-03-25 20:23:52
9106,"One day, Susie went outside with her teddy bear",0,Neutral,2026-03-25 20:23:52
9105,Susie loved to go exploring in the big backyard of her house,6,Positive,2026-03-25 20:23:52
9104,"Once upon a time, there was a small girl named Susie",0,Neutral,2026-03-25 20:23:52
9103,The car had known it was the present all along and had zipped across the room to show her the special surprise,6,Positive,2026-03-25 20:23:52
9102,Jill understood that the print on her car was the same as the print on the box,0,Neutral,2026-03-25 20:23:52
9101,It was a black toy robot! She was so excited and couldn't believe her eyes,5,Positive,2026-03-25 20:23:52
9100,Jill opened the box and inside was a present for her,0,Neutral,2026-03-25 20:23:52
9099,Jill followed it and it stopped at a big black box,-2,Negative,2026-03-25 20:23:52
9098,"Jill was so excited, she couldn't believe it! The car kept zip, zip, zipping all around the room",5,Positive,2026-03-25 20:23:52
9097,"She kept looking at the print and suddenly, the car started to zip across the room",0,Neutral,2026-03-25 20:23:52
9096,She couldn't figure out where it came from,0,Neutral,2026-03-25 20:23:52
